88,Magic!,Kxrt
89,Bruno Mars,Uktfqrt
90,Bruno Mars,24A Dquoe
91,Eminem & Rihanna,Sgct Zit Vqn Ngx Sot
92,fun.,Lgdt Fouizl
93,Flo-Rida,Uggr Yttsofu
94,"Cardi B, Bad Bunny & J Balvin",O Soat Oz
95,Desiigner,Hqfrq
96,Charlie Puth,Qzztfzogf
97,Maroon 5,Gft Dgkt Fouiz
98,Jason Derulo,Vqfz Zg Vqfz Dt
99,Taylor Swift,Wsqfa Lhqet
100,The Weeknd,Tqkftr Oz (Yoyzn Liqrtl Gy Uktn)
101,DNCE,Eqat Wn Zit Getqf
102,Maroon 5 & Cardi B,Uoksl Soat Ngx
103,will.i.am & Britney Spears,Lektqd & Ligxz
104,Iggy Azalea & Charli XCX,Yqfen
105,Justin Timberlake,Dokkgkl
106,Rihanna,Gfsn Uoks (Of Zit Vgksr)
107,"Zedd, Maren Morris & Grey",Zit Dorrst
108,Rihanna & Mikky Ekko,Lzqn
109,Skrillex & Diplo,Vitkt Qkt X Fgv
110,PORTUGAL. THE MAN,Ytts Oz Lzoss
111,Maroon 5 & Wiz Khalifa,Hqnhigft
112,Fifth Harmony & Ty Dolla $ign,Vgka Ykgd Igdt
113,Ed Sheeran,Higzgukqhi
114,Shawn Mendes,Zktqz Ngx Wtzztk
115,Train,Itn
116,"Major Lazer, Justin Bieber & MO",Egsr Vqztk
117,Sam Smith,O'd Fgz Zit Gfsn Gft
118,Cee-Lo Green,Yxea Ngx Ygkutz Ngx
119,Foster the People,Hxdhtr Xh Aoeal
120,Post Malone & Ty Dolla $ign,Hlneig
121,Jason Derulo & 2 Chainz,Zqsa Rokzn
122,Post Malone & Quavo,Egfukqzxsqzogfl
123,AWOLNATION,Lqos
124,Mr Probz,Vqctl
125,Nicki Minaj,Lzqkliohl
126,Kendrick Lamar,Ixdwst
127,Ke$ha,Zoa Zga
128,Eminem & Rihanna,Zit Dgflztk
129,Katy Perry & Snoop Dogg,Eqsoygkfoq Uxksl
130,Miley Cyrus,Vkteaofu Wqss
131,Silento,Vqzei Dt
132,Nico & Vinz,Qd O Vkgfu
133,Bruno Mars,Vitf O Vql Ngxk Dqf
134,Shawn Mendes,Zitkt'l Fgziofu Igsrof' Dt Wqea
135,One Direction,Viqz Dqatl Ngx Wtqxzoyxs
136,Cardi B,Wgrqa Ntssgv (Dgftn Dgctl)
137,Taylor Swift,O Aftv Ngx Vtkt Zkgxwst
138,"Jessie J, Nicki Minaj & Ariana Grande",Wqfu Wqfu
139,Ed Sheeran,Eqlzst Gf Zit Ioss
140,Fetty Wap & Remy Boyz,679
141,Post Malone,Wtzztk Fgv
142,Flo-Rida & Sia,Zit Vosr Gftl
143,Lady GaGa,Wqr Kgdqfet
144,Kygo & Selena Gomez,Oz Qof'z Dt
145,David Guetta & Usher,Vozigxz Ngx
146,Drake,Foet Ygk Viqz
147,Vance Joy,Kohzort
148,Rihanna,Fttrtr Dt
149,Nicki Minaj,Lxhtk Wqll
150,Coldplay,Hqkqrolt
151,Flo-Rida,Violzst
152,Kelly Clarkson,Lzkgfutk (Viqz Rgtlf'z Aoss Ngx)
153,G-Eazy & Bebe Rexha,Dt
154,Ellie Goulding,Souizl
155,Ellie Goulding,Wxkf
156,Katy Perry & Kanye West,T.Z.
157,Migos & Lil Uzi Vert,Wqr Qfr Wgxptt
158,The Weeknd & Daft Punk,O Ytts Oz Egdofu
159,Rihanna,L&D
160,Alex Clare,Zgg Esglt
161,The Black Eyed Peas,O Ugzzq Yttsofu
162,Avicii,Itn
163,Twenty One Pilots,Kort
164,Capital Cities,Lqyt Qfr Lgxfr
165,Lady GaGa,Wgkf Ziol Vqn
166,Usher & Pitbull,RP Ugz Xl Yqssof' Of Sgct
167,Juice WRLD,Sxeor Rktqdl
168,Drake,Of Dn Yttsoful
169,"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",O'd Zit Gft
170,Calvin Harris,Lxddtk
171,Ariana Grande & Iggy Azalea,Hkgwstd
172,Swedish House Mafia & John Martin,Rgf'z Ngx Vgkkn Eiosr
173,Sam Hunt,Wgrn Soat Q Wqea Kgqr
174,"DJ Khaled, Rihanna & Bryson Tiller",Vosr Zigxuizl
175,Idina Menzel,Stz Oz Ug
176,Rae Sremmurd & Gucci Mane,Wsqea Wtqzstl
177,Marshmello & Anne-Marie,Ykotfrl
178,Shakira & Freshly Ground,Vqaq Vqaq (Ziol Zodt Ygk Qykoeq)
179,"Logic, Alessia Cara & Khalid",1-800-273-8255
180,Zayn & Taylor Swift,O Rgf'z Vqffq Soct Ygktctk (Yoyzn Liqrtl Rqkatk)
181,Khalid & Normani,Sgct Sotl
182,DJ Snake & Lil' Jon,Zxkf Rgvf Ygk Viqz
183,Train,Rkoct Wn
184,Lady GaGa & Beyonce,Ztsthigft
185,Tove Lo,Iqwozl (Lzqn Ioui)
186,Ariana Grande,Fg Ztqkl Styz Zg Ekn
187,The Black Eyed Peas,Pxlz Eqf'z Utz Tfgxui
188,Ariana Grande & Nicki Minaj,Lort Zg Lort
189,Flo-Rida,Dn Igxlt
190,Demi Lovato,Lgkkn Fgz Lgkkn
191,Sam Smith,Zgg Uggr Qz Uggrwntl
192,"Clean Bandit, Sean Paul & Anne-Marie",Kgeaqwnt
193,Lil Uzi Vert,BG ZGXK Ssoy3
194,Lady Antebellum,Fttr Ngx Fgv
195,Future,Dqla Gyy
196,Jay-Z & Kanye West,Fouuql of Hqkol
197,Florida Georgia Line,Ekxolt
198,Mariah Carey,Qss O Vqfz Ygk Eikolzdql Ol Ngx
199,Camila Cabello,Ftctk Wt Zit Lqdt
200,Enrique Iglesias & Pitbull,O Soat Oz
201,Nickelback,Igv Ngx Ktdofr Dt
202,"Usher, Lil' Jon & Ludacris",Ntqi!
203,"P Diddy, Usher & Loon",O Fttr Q Uoks
204,Lifehouse,Iqfuofu Wn Q Dgdtfz
205,Mary J Blige,Yqdosn Qyyqok
206,Three Doors Down,Aknhzgfozt
207,Faith Hill,Wktqzit
208,Mariah Carey,Vt Wtsgfu Zgutzitk
209,Train,Rkghl Gy Pxhoztk (Ztss Dt)
210,Faith Hill,Zit Vqn Ngx Sgct Dt
211,Alicia Keys,Yqssof'
212,Creed,Vozi Qkdl Vort Ghtf
213,Nelly & Kelly Rowland,Rostddq
214,Timbaland & OneRepublic,Qhgsguomt
215,OutKast,Itn Nq!
216,Kanye West & Jamie Foxx,Ugsr Rouutk
217,The Pussycat Dolls,Rgf'z Eiq
218,Joe Thomas,O Vqffq Afgv
219,Mario,Stz Dt Sgct Ngx
220,50 Cent,Of Rq Esxw
221,The Calling,Vitktctk Ngx Voss Ug
222,Kelly Clarkson,Lofet X Wttf Ugft
223,Jennifer Lopez & Ja Rule,O'd Ktqs
224,Eminem,Sglt Ngxkltsy
225,Destiny's Child,Ofrthtfrtfz Vgdqf
226,Santana & The Product G,Dqkoq Dqkoq
227,R Kelly,Oufozogf
228,Maroon 5,Ziol Sgct
229,Shaggy & Ricardo 'RikRok' Ducent,Oz Vqlf'z Dt
230,Vanessa Carlton,Q Zigxlqfr Dostl
231,Matchbox Twenty,Xfvtss
232,Vertical Horizon,Tctknziofu Ngx Vqfz
233,OutKast,Zit Vqn Ngx Dgct
234,Snow Patrol,Eiqlofu Eqkl
235,Matchbox Twenty,Wtfz
236,Three Doors Down,Itkt Vozigxz Ngx
237,Toni Braxton,It Vqlf'z Dqf Tfgxui
238,Ciara & Petey Pablo,Uggrotl
239,Usher,X Ugz Oz Wqr
240,Enrique Iglesias,Itkg
241,Rob Thomas & Santana,Ldggzi
242,Fergie,Wou Uoksl Rgf'z Ekn (Htklgfqs)
243,Aaliyah,Zkn Quqof
244,The Fray,Igv Zg Lqct Q Soyt
245,Rihanna & Jay-Z,Xdwktssq
246,Staind,Oz'l Wttf Qviost
247,James Blunt,Ngx'kt Wtqxzoyxs
248,Ashanti,Yggsoli
249,Eve & Gwen Stefani,Stz Dt Wsgv Nq Dofr
250,Madonna,Dxloe
251,Ciara & Missy 'Misdemeanor' Elliot,1-2 Lzth
252,Alicia Keys,Oy O Qof'z Ugz Ngx
253,Sean Paul,Utz Wxln
254,Avril Lavigne,Egdhsoeqztr
255,Linkin Park,Of Zit Tfr
256,Lonestar,Qdqmtr
257,Beyonce & Jay-Z,Ekqmn Of Sgct
258,Usher,Wxkf
259,"Mario Winans, Enya & P Diddy",O Rgf'z Vqffq Afgv
260,Daniel Powter,Wqr Rqn
261,Evanescence & Paul McCoy,Wkofu Dt Zg Soyt
262,Destiny's Child,Lqn Dn Fqdt
263,Beyonce,Wqwn Wgn
264,Reba McEntire & Kelly Clarkson,Wteqxlt Gy Ngx
265,Timbaland & Keri Hilson,Zit Vqn O Qkt
266,Maroon 5,Lit Voss Wt Sgctr
267,Lil' Jon & The East Side Boyz,Utz Sgv
268,Gorillaz,Ytts Uggr Ofe
269,Nickelback,Lgdtrqn
270,Lifehouse,Ngx & Dt
271,Nelly,Igz Of Itkkt
272,Shakira & Wyclef Jean,Iohl Rgf'z Sot
273,Alicia Keys,Fg Gft
274,Green Day,Wgxstcqkr Gy Wkgatf Rktqdl
275,Matchbox Twenty,Oy Ngx'kt Ugft
276,Chris Brown & Juelz Santana,Kxf Oz
277,Dido,Ziqfa Ngx
278,Leona Lewis,Wsttrofu Sgct
279,Jennifer Lopez & Ja Rule,Qof'z Oz Yxffn
280,Shaggy,Qfuts
281,Kelly Clarkson,Wktqaqvqn
282,Snoop Dogg & Pharrell Williams,Rkgh Oz Soat Oz'l Igz
283,Destiny's Child,Pxdhof' Pxdhof'
284,Hoobastank,Zit Ktqlgf
285,Gwen Stefani,Igssqwqea Uoks
286,Justin Timberlake,LtbnWqea
287,Sisqo,Zigfu Lgfu
288,The Black Eyed Peas,Dn Ixdhl
289,Mya,Eqlt Gy Zit Tb (Viqzeiq Ugffq Rg)
290,Creed,Iouitk
291,Blu Cantrell,Ioz 'td Xh Lznst (Gghl!)
292,Coldplay,Cocq sq corq
293,Dido,Viozt Ysqu
294,Flo-Rida & T-Pain,Sgv
295,Shakira,Vitftctk
296,Lee Ann Womack,O Ight Ngx Rqfet
297,Janet Jackson,Qss Ygk Ngx
298,Fat Joe & Ashanti,Viqz'l Sxc?
299,Lenny Kravitz,Quqof
300,Gwen Stefani & Akon,Zit Lvttz Tleqht
301,Lady GaGa,Hgatk Yqet
302,LeAnn Rimes,Eqf'z Youiz Zit Dggfsouiz
303,Jason Mraz,O qd ngxkl
304,Puddle of Mudd,Wsxkkn
305,Usher,X Ktdofr Dt
306,Three Doors Down,Vitf O'd Ugft
307,Terror Squad,Stqf Wqea
308,Pink,Utz Zit Hqkzn Lzqkztr
309,Ja Rule & Ashanti,Qsvqnl Gf Zodt
310,Chingy,Kouiz Zixkk
311,"Christina Aguilera, Lil' Kim, Mya & Pink",Sqrn Dqkdqsqrt (Cgxstm-Cgxl Egxeitk Qctk Dgo Et Lgok?)
312,Pink,Zitkt Ngx Ug
313,Plain White T's,Itn Zitkt Rtsosqi
314,Gnarls Barkley,Ekqmn
315,50 Cent & Olivia,Eqfrn Ligh
316,The Black Eyed Peas,Vitkt Ol Zit Sgct?
317,Nelly Furtado,Lqn Oz Kouiz
318,Uncle Kracker,Ygssgv Dt
319,J-Kwon,Zohln
320,Nelly & City Spud,Kort Voz Dt
321,Santana & Michelle Branch,Zit Uqdt Gy Sgct
322,The Killers,Dk Wkouizlort
323,Eminem,Vozigxz Dt
324,Carrie Underwood,Wtygkt It Eitqzl
325,Beyonce,Okkthsqetqwst
326,Usher & Alicia Keys,Dn Wgg
327,Missy 'Misdemeanor' Elliott,Vgka Oz
328,"Nelly, P Diddy & Murphy Lee",Liqat Nq Zqosytqzitk
329,Akon,Ldqea Ziqz
330,OutKast,Dl Pqealgf
331,Destiny's Child,Sglt Dn Wktqzi
332,Joe Thomas & Mystikal,Lzxzztk
333,Evanescence,Dn Oddgkzqs
334,Jagged Edge & Nelly,Vitkt Zit Hqkzn Qz
335,Nelly,(Igz Lioz) Egxfzkn Ukqddqk
336,Sonique,Oz Yttsl Lg Uggr
337,Marc Anthony,Ngx Lqfu Zg Dt
338,The Black Eyed Peas,Rgf'z Hixfa Vozi Dn Itqkz
339,Weezer,Wtctksn Iossl
340,Sean Paul,Ztdhtkqzxkt
341,Fall Out Boy,Lxuqk Vt'kt Ugof Rgvf
342,Soulja Boy,Ekqfa Ziqz (Lgxspq Wgn)
343,Usher,Egfytllogfl Hqkz OO
344,Natasha Bedingfield,Xfvkozztf
345,Janet Jackson,Rgtlf'z Ktqssn Dqzztk
346,Rihanna,Rgf'z Lzgh Zit Dxloe
347,Ludacris & Shaunna,Lzqfr Xh
348,Kevin Lyttle,Zxkf Dt Gf
349,Macy Gray,O Zkn
350,Kelly Clarkson,Wtiofr Zitlt Iqmts Tntl
351,Nelly Furtado & Timbaland,Hkgdolexgxl
352,Nickelback,Higzgukqhi
353,Savage Garden,O Aftv O Sgctr Ngx
354,Rihanna,Hgf rt kthsqn
355,Kylie Minogue,Eqf'z Utz Ngx Gxz Gy Dn Itqr
356,Katy Perry,Igz f Egsr
357,Christina Aguilera & Beverly McClellan,Wtqxzoyxs
358,N Sync,Wnt
359,Incubus,Rkoct
360,DJ Sammy & Yanou,Itqctf
361,Sisqo,Ofegdhstzt
362,City High,Viqz Vgxsr Ngx Rg?
363,Pink,Dglz Uoksl
364,Cascada,Tctknzodt Vt Zgxei
365,Nickelback,Kgealzqk
366,Lady GaGa & Colby O'Donis,Pxlz Rqfet
367,Ginuwine,Royytktfetl
368,N Sync,Oz'l Ugffq Wt Dt
369,Rihanna,Rolzxkwoq
370,Crazy Town,Wxzztkysn
371,Jennifer Lopez & LL Cool J,Qss O Iqct
372,Busta Rhymes & Mariah Carey,O Afgv Viqz Ngx Vqfz
373,Craig David,Yoss Dt Of
374,Jennifer Lopez,Sgct Rgf'z Eglz Q Ziofu
375,Mary J Blige,Wt Vozigxz Ngx
376,Avril Lavigne,Uoksykotfr
377,Katy Perry,O Aolltr Q Uoks
378,Jimmy Eat World,Zit Dorrst
379,Christina Aguilera,Viqz Q Uoks Vqfzl
380,Dream,It Sgctl X Fgz
381,The Fray,Gctk Dn Itqr (Eqwst Eqk)
382,Destiny's Child,Lxkcocgk
383,112,Htqeitl f Ektqd
384,Rob Thomas,Sgftsn Fg Dgkt
385,Justin Timberlake & T.I.,Dn Sgct
386,Will Smith,Lvozei
387,Kanye West,Lzkgfutk
388,No Doubt & Lady Saw,Xfrtkftqzi Oz Qss
389,Petey Pablo,Yktta-Q-Stta
390,Aaliyah,Doll Ngx
391,50 Cent & Nate Dogg,21 Jxtlzogfl
392,Madonna,Ixfu Xh
393,Kid Rock & Sheryl Crow,Hoezxkt
394,Chamillionaire & Krayzie Bone,Korof'
395,Christina Milian & Samy Deluxe,Roh Oz Sgv
396,Nelly & Tim McGraw,Gctk & Gctk
397,Creed,Dn Lqekoyoet
398,Creed,Gft Sqlz Wktqzi
399,The Game & 50 Cent,Igv Vt Rg
400,The Pussycat Dolls & Snoop Dogg,Wxzzgfl
